Time,min,max,emg_read
2026-03-28 14:40:21:395,,4095,0
2026-03-28 14:40:21:395,0,4095,0
2026-03-28 14:40:21:395,0,4095,41
2026-03-28 14:40:21:395,0,4095,75
2026-03-28 14:40:21:395,0,4095,86
2026-03-28 14:40:21:395,0,4095,79
2026-03-28 14:40:21:395,0,4095,64
2026-03-28 14:40:21:395,0,4095,27
2026-03-28 14:40:21:395,0,4095,0
2026-03-28 14:40:21:395,0,4095,0
2026-03-28 14:40:21:396,0,4095,0
2026-03-28 14:40:21:396,0,4095,0
2026-03-28 14:40:21:396,0,4095,57
2026-03-28 14:40:21:396,0,4095,82
2026-03-28 14:40:21:396,0,4095,81
2026-03-28 14:40:21:396,0,4095,60
2026-03-28 14:40:21:396,0,4095,0
2026-03-28 14:40:21:396,0,4095,0
2026-03-28 14:40:21:396,0,4095,0
2026-03-28 14:40:21:396,0,4095,13
2026-03-28 14:40:21:396,0,4095,65
2026-03-28 14:40:21:396,0,4095,85
2026-03-28 14:40:21:396,0,4095,116
2026-03-28 14:40:21:396,0,4095,108
2026-03-28 14:40:21:396,0,4095,97
2026-03-28 14:40:21:396,0,4095,83
2026-03-28 14:40:21:396,0,4095,96
2026-03-28 14:40:21:396,0,4095,0
2026-03-28 14:40:21:397,0,4095,0
2026-03-28 14:40:21:397,0,4095,7
2026-03-28 14:40:21:397,0,4095,61
2026-03-28 14:40:21:397,0,4095,79
2026-03-28 14:40:21:397,0,4095,56
2026-03-28 14:40:21:397,0,4095,28
2026-03-28 14:40:21:397,0,4095,21
2026-03-28 14:40:21:397,0,4095,0
2026-03-28 14:40:21:397,0,4095,0
2026-03-28 14:40:21:397,0,4095,0
2026-03-28 14:40:21:397,0,4095,35
2026-03-28 14:40:21:397,0,4095,70
2026-03-28 14:40:21:397,0,4095,132
2026-03-28 14:40:21:397,0,4095,122
2026-03-28 14:40:21:397,0,4095,99
2026-03-28 14:40:21:397,0,4095,148
2026-03-28 14:40:21:397,0,4095,46
2026-03-28 14:40:21:398,0,4095,3
2026-03-28 14:40:21:398,0,4095,0
2026-03-28 14:40:21:398,0,4095,0
2026-03-28 14:40:21:398,0,4095,13
2026-03-28 14:40:21:398,0,4095,58
2026-03-28 14:40:21:398,0,4095,77
2026-03-28 14:40:21:398,0,4095,82
2026-03-28 14:40:21:398,0,4095,61
2026-03-28 14:40:21:398,0,4095,0
2026-03-28 14:40:21:398,0,4095,0
2026-03-28 14:40:21:398,0,4095,0
2026-03-28 14:40:21:398,0,4095,8
2026-03-28 14:40:21:398,0,4095,32
2026-03-28 14:40:21:398,0,4095,57
2026-03-28 14:40:21:398,0,4095,92
2026-03-28 14:40:21:398,0,4095,96
2026-03-28 14:40:21:398,0,4095,80
2026-03-28 14:40:21:398,0,4095,38
2026-03-28 14:40:21:399,0,4095,29
2026-03-28 14:40:21:399,0,4095,0
2026-03-28 14:40:21:399,0,4095,0
2026-03-28 14:40:21:399,0,4095,0
2026-03-28 14:40:21:399,0,4095,18
2026-03-28 14:40:21:399,0,4095,42
2026-03-28 14:40:21:399,0,4095,0
